Algorithm,Model,Dataset,TPR@10%FPR,F1@10%FPR,TPR@best,F1@best
KGW,125M,c4,0.09,0.15254237288135594,0.99,0.6622073578595318
KGW,125M,wmt16,0.16,0.253968253968254,0.98,0.6666666666666666
Unigram,125M,c4,1.0,0.9523809523809523,0.99,0.9850746268656716
Unigram,125M,wmt16,0.95,0.9268292682926829,0.95,0.9595959595959594
EXP,125M,c4,1.0,0.9523809523809523,1.0,1.0
EXP,125M,wmt16,0.96,0.9320388349514563,0.96,0.9795918367346939
KGW,1.3B,c4,0.99,0.9519230769230769,0.99,0.99
KGW,1.3B,wmt16,0.96,0.9320388349514563,0.96,0.964824120603015
Unigram,1.3B,c4,1.0,0.9523809523809523,1.0,0.9950248756218906
Unigram,1.3B,wmt16,1.0,0.9523809523809523,0.99,0.99
EXP,1.3B,c4,0.98,0.9423076923076924,0.97,0.9847715736040609
EXP,1.3B,wmt16,0.99,0.9473684210526316,0.99,0.9949748743718593
KGW,2.7B,c4,0.99,0.9519230769230769,0.96,0.9746192893401014
KGW,2.7B,wmt16,1.0,0.9523809523809523,1.0,0.9950248756218906
Unigram,2.7B,c4,1.0,0.9523809523809523,0.99,0.9949748743718593
Unigram,2.7B,wmt16,1.0,0.9523809523809523,0.99,0.9949748743718593
EXP,2.7B,c4,0.99,0.9473684210526316,0.99,0.99
EXP,2.7B,wmt16,1.0,0.9523809523809523,1.0,1.0
