Algorithm,Model,Dataset,PPL_wm,PPL_uwm,ΔPPL,LogDiv_corpus_wm,LogDiv_corpus_uwm,ΔLogDiv_corpus,LogDiv_pertext_wm,LogDiv_pertext_uwm,ΔLogDiv_pertext
KGW,125M,c4,10.777241113185882,7.822179373502731,2.955061739683151,1.2921388450885494,1.2336313071716465,0.058507537916902885,1.1750552936858398,1.1173059172884827,0.05774937639735711
KGW,125M,wmt16,,,,1.2751213574890041,1.216229426546676,0.05889193094232814,1.1223963495883396,1.1856083735700034,-0.06321202398166381
Unigram,125M,c4,6.2854713332653045,7.25264617562294,-0.9671748423576352,1.9414899840535487,1.1998228464504297,0.741667137603119,1.8240663752994335,1.1113886877922656,0.7126776875071679
Unigram,125M,wmt16,,,,2.3101277807756624,1.2077120898880238,1.1024156908876386,2.2015216940674995,1.169064803980177,1.0324568900873226
EXP,125M,c4,6.964086058139801,8.45628359913826,-1.4921975409984585,1.6728373199628503,1.2897540275911639,0.3830832923716865,1.6942997716660686,1.2206034107952493,0.47369636087081934
EXP,125M,wmt16,,,,1.6198380602214846,1.2011705881705208,0.4186674720509638,1.5860904050824485,1.1750941353525852,0.41099626972986325
KGW,1.3B,c4,9.881791087388992,9.133788115978241,0.7480029714107506,0.8320324927350313,0.6638049882316897,0.16822750450334167,0.7721486614654277,0.5540204315299687,0.218128229935459
KGW,1.3B,wmt16,,,,0.5038058895383843,0.5411316037644952,-0.03732571422611086,0.3639423938050164,0.38632503555363995,-0.022382641748623533
Unigram,1.3B,c4,8.324024517536163,8.9900528216362,-0.6660283041000366,1.2232509966923966,0.6426339166386619,0.5806170800537347,1.0979463752387988,0.502104758704252,0.5958416165345468
Unigram,1.3B,wmt16,,,,0.9386710392456727,0.4534920619493159,0.48517897729635684,0.7373393847616811,0.2824398572198839,0.45489952754179724
EXP,1.3B,c4,9.572418267726897,7.976928939819336,1.5954893279075613,1.0605274312621145,0.8332697745517299,0.22725765671038456,1.1219481178245103,0.7686994062158882,0.35324871160862215
EXP,1.3B,wmt16,,,,0.7981837563412542,0.4593607020248519,0.33882305431640225,0.7565830595298174,0.29870683692159283,0.4578762226082246
KGW,2.7B,c4,10.833682253360749,9.18514230966568,1.6485399436950683,0.8356568308041536,0.6116755406938252,0.2239812901103284,0.7790037403760646,0.4792278182754462,0.2997759221006184
KGW,2.7B,wmt16,,,,0.5116423358314074,0.3766696893335041,0.1349726464979033,0.32441490137852125,0.20267960315469705,0.1217352982238242
Unigram,2.7B,c4,8.895717802047729,9.846968536376954,-0.9512507343292249,1.1319602456240645,0.5756091860186,0.5563510596054645,0.9704325062308646,0.47918773560198197,0.49124477062888267
Unigram,2.7B,wmt16,,,,0.6870520221268359,0.3745033807693579,0.312548641357478,0.40995063760417,0.16320409928562843,0.24674653831854157
EXP,2.7B,c4,9.94948700785637,9.228366944789887,0.7211200630664827,1.0159806605581871,0.7020308692580609,0.31394979130012624,1.095204941231203,0.6152464408406337,0.4799585003905693
EXP,2.7B,wmt16,,,,0.7532467738196781,0.4438732586543973,0.3093735151652808,0.6743372659108624,0.2539424897809042,0.4203947761299582
